pr,title,action,release_tag,rep_commit,rep_ymd,rep_order,commits,files,insertions,deletions,churn,start_date,end_date,topdirs,subsys,arch
584,arch-arm: Fix Virtual Interrupt logic in secure mode,修复/纠错,v23.1.0.0,ab1d5dc3a08437892793713ddab72d0cb3dbb395,2023-11-26,1760,1,0,0,0,0,2023-11-26T18:11:08-08:00,2023-11-26T18:11:08-08:00,,,
581,"mem-cache: Revert ""Prefetchers Improvements""",其他,v23.1.0.0,0b2c56ef6623350a0023d6a7f0563b966a2fc872,2023-11-26,1762,1,0,0,0,0,2023-11-26T18:43:21-08:00,2023-11-26T18:43:21-08:00,,,
599,"arch-vega,arch-gcn3: Bugfix V_PERM_B32 and V_OR3_B32",其他,v23.1.0.0,cc9f81b08a0493d82a10145f15d36f9453e3625b,2023-11-26,1763,1,3,3,3,6,2023-11-26T23:22:01-08:00,2023-11-26T23:22:01-08:00,src,arch,amdgpu
600,tests: fix lulesh,测试,v23.1.0.0,1de992bc757e59c592df13e94c9299d3544330ff,2023-11-27,1764,1,1,1,1,2,2023-11-27T07:42:59-08:00,2023-11-27T07:42:59-08:00,.github,.github,
577,"ext,github,tests: Update DRAMSys tests to v5.0 and handle new dependencies",测试,v23.1.0.0,0f6eabe8c927f6f7d642c69131c728091510ebf5,2023-11-27,1769,1,0,0,0,0,2023-11-27T09:37:11-08:00,2023-11-27T09:37:11-08:00,,,
597,dev-amdgpu: Writeback PM4 queue rptr when empty,其他,v23.1.0.0,9e6a87e67a907ee04b06eeaa1d34e5549dbed7ce,2023-11-27,1770,1,1,18,1,19,2023-11-27T11:02:11-08:00,2023-11-27T11:02:11-08:00,src,dev,
69,scons: Change to Kconfig build system,其他,v23.1.0.0,d94d6017b051d1b33d8950bddcbb89662fbec503,2023-11-27,1794,1,0,0,0,0,2023-11-27T13:59:18-08:00,2023-11-27T13:59:18-08:00,,,
608,misc: Merge develop .github dir to stable,CI,v23.1.0.0,3bf0b1d22a375f9a1da34150293e8f8ddf433391,2023-11-27,2010,1,3,22,13,35,2023-11-27T14:32:51-08:00,2023-11-27T14:32:51-08:00,.github,.github,
493,cpu: Require BTB hit to detect branches.,其他,v23.1.0.0,0c30353c59c4bf3cfd4b61d773520b6d4c6c37de,2023-11-28,1796,1,0,0,0,0,2023-11-28T09:39:14+00:00,2023-11-28T09:39:14+00:00,,,
593,arch-x86: Fix misc registers in mov instructions,修复/纠错,v23.1.0.0,3fe5e58f2832cc9b8712058db96373a57d36c462,2023-11-28,1799,1,0,0,0,0,2023-11-28T11:14:53-08:00,2023-11-28T11:14:53-08:00,,,
610,arch-riscv: fix tlb bug,修复/纠错,v23.1.0.0,089b82b2e95a326899af7c5ae95a3c690bbf785c,2023-11-29,1800,1,1,1,1,2,2023-11-29T08:39:02-08:00,2023-11-29T08:39:02-08:00,src,arch,riscv
614,cpu-o3: Fix discarded requests str-ld forwarding,修复/纠错,v23.1.0.0,eb13b3231427b6e86c2714515d8f9fbccc66bfb7,2023-11-29,1801,1,2,5,3,8,2023-11-29T08:45:03-08:00,2023-11-29T08:45:03-08:00,src,cpu/o3,
606,arch-riscv: Fix narrow datatypes in RVV isa files,修复/纠错,v23.1.0.0,b0cefac9b2c73db246f6e8828351458df4af3b75,2023-11-29,1802,1,4,116,114,230,2023-11-29T10:11:06-08:00,2023-11-29T10:11:06-08:00,src,arch,riscv
522,arch-riscv: Support combination of privilege modes configuration,新增/支持,v23.1.0.0,a2e7bd4698118f2ba39a14aa4321c5dea9fbf836,2023-11-29,1809,1,0,0,0,0,2023-11-29T10:12:57-08:00,2023-11-29T10:12:57-08:00,,,
617,"scons: Move CPPPATH systemc_home to ""src/systemc"" folder",重命名/迁移,v23.1.0.0,57ba3fccb7e2946071dedd0e22d75c106230ba09,2023-11-29,1810,1,2,4,7,11,2023-11-29T13:56:23-08:00,2023-11-29T13:56:23-08:00,src,"arch, src",arm
601,scons: Add an option to reduce memory usage of ld,新增/支持,v23.1.0.0,1d1cba297b6651c54ee2aff048da723eaa94e515,2023-11-29,1811,1,1,10,0,10,2023-11-29T14:24:48-08:00,2023-11-29T14:24:48-08:00,SConstruct,SConstruct,
592,arch-x86: Fixes page fault for CLFLUSH on write-protected pages,其他,v23.1.0.0,fcbcd1ce72298db6e2b2ec228fc375d8f0a2d276,2023-11-29,1815,1,0,0,0,0,2023-11-29T14:25:21-08:00,2023-11-29T14:25:21-08:00,,,
611,"stdlib, resources: removed  deprecated if statement  in obtain_resource for workload resources",其他,v23.1.0.0,392086b43d7068292e440f45b54ddf240909442f,2023-11-29,1816,1,1,8,16,24,2023-11-29T14:27:23-08:00,2023-11-29T14:27:23-08:00,src,python,
620,tests: switch lulesh/hacc to use vega_x86,测试,v23.1.0.0,403bf38a0e1db17634e1341bcfc5d64da9631dcd,2023-11-29,1819,1,0,0,0,0,2023-11-29T18:55:53-08:00,2023-11-29T18:55:53-08:00,,,
626,misc: Merge .github directory from develop to stable,CI,v23.1.0.0,b99af93183b2f77781b6f4759bc06f717d3bb9bc,2023-11-29,2011,1,1,12,12,24,2023-11-29T19:04:13-08:00,2023-11-29T19:04:13-08:00,.github,.github,
431,"misc,python: Add `isort` hook to pre-commit",新增/支持,v23.1.0.0,dcdebec0f62e93d2f5d02d1655c43ad8bb3ad9d4,2023-11-30,1822,1,0,0,0,0,2023-11-30T09:54:12+00:00,2023-11-30T09:54:12+00:00,,,
531,"sim,python: Restore sigint handler in python",其他,v23.1.0.0,9afe9932bc8814e3027242740ac2f69f31032e09,2023-11-30,1823,1,3,30,5,35,2023-11-30T07:27:52-08:00,2023-11-30T07:27:52-08:00,src,sim,
629,scons: Limit adding fastmodel files and libpath,其他,v23.1.0.0,a16fd8a592104528bfd89d6b54e6219d8024399b,2023-11-30,1824,1,7,20,0,20,2023-11-30T07:36:26-08:00,2023-11-30T07:36:26-08:00,src,arch,arm
502,Support for classic prefetchers in Ruby,新增/支持,v23.1.0.0,b3e7af9d7975c10c8af95fa76a34761a83da97e4,2023-11-30,1833,1,0,0,0,0,2023-11-30T10:24:29-08:00,2023-11-30T10:24:29-08:00,,,
627,util-docker: Enforce cmake version >=3.24 for DRAMSys,更新/依赖,v23.1.0.0,bfd25f535216dbc3cca6a5fb9bc70da18f4068b3,2023-11-30,1836,1,0,0,0,0,2023-11-30T21:23:53-08:00,2023-11-30T21:23:53-08:00,,,
631,"misc, stdlib: Update documentation to adhere to RST formatting.",更新/依赖,v23.1.0.0,d96b6cdae7e956d6ed248a2b9285953b8116d7bd,2023-12-01,1837,1,92,1054,935,1989,2023-12-01T11:43:49-08:00,2023-12-01T11:43:49-08:00,src,python,
598,mem-ruby: Unused L3CacheCntrl freed,其他,v23.1.0.0,fc0a043950a828c1f513bfe421f33eeb70a6aa83,2023-12-01,1838,1,2,2,1,3,2023-12-01T13:01:19-08:00,2023-12-01T13:01:19-08:00,"configs, src","configs, mem",
634,misc: Fix precommit install,修复/纠错,v23.1.0.0,39fd61d7ddea49e5ab0cdcada5c734a6826f3636,2023-12-01,1839,1,1,0,1,1,2023-12-01T14:03:59-08:00,2023-12-01T14:03:59-08:00,site_scons,scons,
637,mem-ruby: update CacheMemory RubyCache debug prints,更新/依赖,v23.1.0.0,bd2838d18e77a2ba98dfe8c8319d4523d3bd40bf,2023-12-01,1841,1,0,0,0,0,2023-12-01T16:11:52-06:00,2023-12-01T16:11:52-06:00,,,
638,tests: fix artifact reference in HACC tests,测试,v23.1.0.0,9d108826b07386ceaa875d6668786c4551440cf8,2023-12-01,1842,1,1,1,1,2,2023-12-01T15:19:17-08:00,2023-12-01T15:19:17-08:00,.github,.github,
615,systemc: Bugfix in TlmToGem5Bridge,其他,v23.1.0.0,84efeb976a23d27fcb737d01cd3fe419143711ff,2023-12-01,1843,1,1,1,0,1,2023-12-01T16:18:51-08:00,2023-12-01T16:18:51-08:00,src,src,
630,stdlib: Integrate BootloaderKernelWorkload,其他,v23.1.0.0,48f3cd1c0e602db5f517cf81bc866f36d2feb572,2023-12-01,1846,1,0,0,0,0,2023-12-01T17:04:02-08:00,2023-12-01T17:04:02-08:00,,,
625,stdlib: Mv resource download to `get_local_path` and add `ShadowResource`,新增/支持,v23.1.0.0,500a4221a03b2b4c6e2e41ad36b1c73c8aea185a,2023-12-01,1849,3,1,8,4,12,2023-12-01T17:04:21-08:00,2023-12-14T00:04:10-08:00,src,python,
642,misc: Add gem5_build/ to .gitignore,新增/支持,v23.1.0.0,ecb72b74f831d2a8495944be2f4f874d63ad1dbe,2023-12-01,1850,1,1,1,0,1,2023-12-01T17:05:41-08:00,2023-12-01T17:05:41-08:00,.gitignore,.gitignore,
639,sim: Rework the Linux Kernel exit events,重构/整理,v23.1.0.0,d9c870f6417c7c344e898c5e9d69912f79aa3033,2023-12-01,1851,1,5,89,61,150,2023-12-01T17:33:59-08:00,2023-12-01T17:33:59-08:00,src,"src, sim, arch",arm
636,Fix for gem5 Issue #550,修复/纠错,v23.1.0.0,21919addca34623105691204ff1db9782c38afff,2023-12-01,1856,1,0,0,0,0,2023-12-01T18:06:20-08:00,2023-12-01T18:06:20-08:00,,,
643,misc: Update .github dir in stable from develop,CI,v23.1.0.0,461af5157552d916baec732dfc7d8e97a2e781d8,2023-12-01,2012,1,1,1,1,2,2023-12-01T17:30:03-08:00,2023-12-01T17:30:03-08:00,.github,.github,
607,misc: update gapbs example to use suites,更新/依赖,v23.1.0.0,88c57e22de5e51352647c9af37f83b28548d802e,2023-12-03,1857,1,1,5,68,73,2023-12-03T13:21:37-08:00,2023-12-03T13:21:37-08:00,configs,configs,
553,arch-arm: Only build ArmCapstoneDisassembler when ISA is arm,其他,v23.1.0.0,7a5052b3a0e1bfb54f3f1c3dd3eba633526829b0,2023-12-03,1858,1,3,14,6,20,2023-12-03T13:22:11-08:00,2023-12-03T13:22:11-08:00,src,"cpu, arch",arm
641,arch-riscv: fix o3 cpu stuck in spinlock bug,修复/纠错,v23.1.0.0,5eba3941f498a266b44970811bb8aa849d533735,2023-12-03,1859,1,1,1,1,2,2023-12-03T13:22:46-08:00,2023-12-03T13:22:46-08:00,src,arch,riscv
587,misc: update x86-npb-benchmarks.py to use suites,更新/依赖,v23.1.0.0,bad569a3f83e5870f1274d62e0980a360853c321,2023-12-03,1860,1,1,7,33,40,2023-12-03T13:23:46-08:00,2023-12-03T13:23:46-08:00,configs,configs,
645,stdlib: Add comment to ShadowResource,新增/支持,v23.1.0.0,c718e94753e78cbe5b87578ef60d8e949ef23338,2023-12-03,1861,1,1,6,0,6,2023-12-03T13:38:59-08:00,2023-12-03T13:38:59-08:00,src,python,
646,mem-ruby: Fix compile error in chi-dvm-funcs,修复/纠错,v23.1.0.0,895944fa27c2e84a27705f814e4782357df7514b,2023-12-03,1862,1,1,7,3,10,2023-12-03T13:39:26-08:00,2023-12-03T13:39:26-08:00,src,mem,
635,arch-riscv: correctly pass arguments to kernel with new bootloader+kernel,新增/支持,v23.1.0.0,7b986419533083dc48d961dcc502701f673a9af2,2023-12-04,1863,1,1,1,1,2,2023-12-04T09:02:50-08:00,2023-12-04T09:02:50-08:00,src,python,
241,"configs,stdlib,tests: Remove get_runtime_isa()",测试,v23.1.0.0,569e21f798f61c22a91e8f6bad083a82fdf43034,2023-12-04,1864,1,20,125,178,303,2023-12-04T09:53:35-08:00,2023-12-04T09:53:35-08:00,"configs, src, tests","configs, python, tests",
651,configs: Fix apu_se.py CPU type checks,修复/纠错,v23.1.0.0,f00d7f70a4c88ff6b3ee703cb09ff33cc617f74f,2023-12-04,1865,1,2,13,16,29,2023-12-04T19:14:46-08:00,2023-12-04T19:14:46-08:00,configs,configs,
652,configs: Fix issues after get_runtime_isa() #241 removed,修复/纠错,v23.1.0.0,9bd61f217fcbf0d787d96550307108f7ba614f55,2023-12-06,1866,1,10,46,31,77,2023-12-06T10:57:18-08:00,2023-12-06T10:57:18-08:00,configs,configs,
573,arch-riscv: Add PCEvent for RISCV FS Workload kernel panic/oops,新增/支持,v23.1.0.0,75544b2abf310d258885e2562106e3ee670e46ff,2023-12-06,1869,1,0,0,0,0,2023-12-06T10:58:23-08:00,2023-12-06T10:58:23-08:00,,,
662,misc: Update version to v23.1.0.0,更新/依赖,v23.1.0.0,d006f866c0d236d8a0d7e5b6223527ff76ebc0b5,2023-12-06,1911,1,2,2,2,4,2023-12-06T14:09:06-08:00,2023-12-06T14:09:06-08:00,src,"src, base",
596,arch-arm: add Sve mla and mls indexed,新增/支持,v24.0.0.0,81d3c6307d90bf11b58380029dc774b14d73e075,2023-12-07,1873,1,0,0,0,0,2023-12-07T21:47:35+00:00,2023-12-07T21:47:35+00:00,,,
654,arch-riscv: Update riscv matched board,更新/依赖,v24.0.0.0,ea1226119c8f96894f11b25e0b2d48613434f026,2023-12-08,1877,1,0,0,0,0,2023-12-08T13:33:09-08:00,2023-12-08T13:33:09-08:00,,,
674,"arch,arch-riscv: Fix inst flag of RISC-V vector store macro instructions",修复/纠错,v24.0.0.0,c8cc193db8853cecf266090b82e72cdd15df95cb,2023-12-12,1883,1,0,0,0,0,2023-12-12T13:07:50-08:00,2023-12-12T13:07:50-08:00,,,
656,mem: Add a flag on AbstractMemory to control statistics collection,新增/支持,v24.0.0.0,eff08ba113c38a5f1950b342f93448a42e1482e9,2023-12-12,1886,1,0,0,0,0,2023-12-12T13:13:30-08:00,2023-12-12T13:13:30-08:00,,,
657,arch-arm: Partial SVE2 Implementation,其他,v24.0.0.0,8d09e954208a7c2ce9446465d4de983faf686e93,2023-12-13,1888,1,0,0,0,0,2023-12-13T10:27:19+00:00,2023-12-13T10:27:19+00:00,,,
672,arch-riscv: squash walks with tlb hits in startWalkWrapper,其他,v24.0.0.0,da3e3b806d6dd243bfd0d6b263264c1335142268,2023-12-13,1890,1,0,0,0,0,2023-12-13T12:45:40-08:00,2023-12-13T12:45:40-08:00,,,
675,"stdlib,resources: Fix obtaining gem5 Looppoint resources",修复/纠错,v24.0.0.0,695c350f31c7f73c410d28c99e70ee9576eca17d,2023-12-13,1893,1,0,0,0,0,2023-12-13T12:49:57-08:00,2023-12-13T12:49:57-08:00,,,
658,stdlib: Fix the chi protocol of arm boot tests,测试,v23.1.0.0,db286903ee7fe8e2441c118db27ed71c40a99cc4,2023-12-13,1912,2,3,10,0,10,2023-12-07T16:10:45-08:00,2023-12-13T23:59:00-08:00,src,python,
655,configs: Make riscv/fs_linux work in build/ALL/gem5.opt,其他,v23.1.0.0,6b80a2e81c279d2d6cd4172edb2f373e95aa408c,2023-12-13,1913,2,2,46,46,92,2023-12-12T08:23:28-08:00,2023-12-13T23:59:53-08:00,configs,configs,
671,tests: fix gapbs and npb tests,测试,v23.1.0.0,34f784f59cb6938e66a4eff2c842d592f5e21cd5,2023-12-14,1916,2,1,4,10,14,2023-12-12T12:33:22-08:00,2023-12-14T00:01:39-08:00,tests,tests,
677,arch-riscv: fix riscv matched board for se mode,修复/纠错,v23.1.0.0,9aab380775ba59a62ae2b6a26a0557f3e8e1f5df,2023-12-14,1919,2,1,24,16,40,2023-12-13T13:16:08-08:00,2023-12-14T00:05:02-08:00,src,python,
682,misc: Cherry-pick from `develop` to `release-staging-v23-1` [Nov 13th],其他,v23.1.0.0,a84cfd2f0df116c5bdb48a602eec2c42306e80d2,2023-12-14,1922,1,0,0,0,0,2023-12-14T00:10:59-08:00,2023-12-14T00:10:59-08:00,,,
666,arch-x86: Fix two_byte_opcodes.isa `0x6` -> `0x0`,修复/纠错,v23.1.0.0,29b77260f39d47c293e6bd1cd166ff24f567eeb0,2023-12-14,1923,2,1,2,2,4,2023-12-12T08:21:27-08:00,2023-12-14T00:41:09-08:00,src,arch,x86
683,misc: Cherry-pick PR #666 from `develop` to `release-staging-v23-1`,其他,v23.1.0.0,9064249fabb03c98fbd532f5d253b7408983a10f,2023-12-14,1924,1,0,0,0,0,2023-12-14T01:51:40-08:00,2023-12-14T01:51:40-08:00,,,
688,mem-ruby: Implement a dummy StashOnceShared/Unique,新增/支持,v24.0.0.0,a008cd2611e2738de4799f06d90594e9d7aafabc,2023-12-16,1895,1,5,33,5,38,2023-12-16T14:43:45-08:00,2023-12-16T14:43:45-08:00,src,mem,
684,configs: Fix SMT cpu type checking,修复/纠错,v23.1.0.0,ce6fd7f084ad2f632f6d8486899a7328ea4d8f35,2023-12-17,1925,1,2,3,1,4,2023-12-17T22:08:49-08:00,2023-12-17T22:08:49-08:00,configs,configs,
679,tests: Silence Clang 16 warnings,测试,v24.0.0.0,2700f392cbbcefda9d64ffddfbba42224555be27,2023-12-18,1898,1,2,2,2,4,2023-12-18T14:57:11-08:00,2023-12-18T14:57:11-08:00,src,base,
689,sim: Remove trailing / from proc/meminfo special path,移除/弃用,v23.1.0.0,27d89379d2b12f1150ef3c26a17ee9f262f78d77,2023-12-18,1926,2,1,4,4,8,2023-12-17T22:07:39-08:00,2023-12-18T17:28:10-08:00,src,sim,
510,util: Added script to copy resources from mongodb,其他,v23.1.0.0,d76a01973a82c91047e844802bbaaeab97a3524f,2023-12-18,1927,2,3,612,0,612,2023-12-18T12:41:52-08:00,2023-12-18T17:28:19-08:00,util,util,
699,misc: Cherry pick changes from develop to the v23.1 staging branch,其他,v23.1.0.0,211d00f48f72011cf3aa7db5d068392c8bf27a5b,2023-12-18,1928,1,0,0,0,0,2023-12-18T17:29:46-08:00,2023-12-18T17:29:46-08:00,,,
692,mem-ruby: Implement WriteUniqueZero CHI transaction,新增/支持,v24.0.0.0,4f5d4b9bafc111526520a88e4bfcd2a22ec17b1a,2023-12-19,1899,1,5,67,2,69,2023-12-19T11:12:50+00:00,2023-12-19T11:12:50+00:00,src,mem,
695,tests: Fix Daily memory tests,测试,v24.0.0.0,82b5c332b7aeb04f365f6d5d6cfbe725139228c5,2023-12-20,1904,1,0,0,0,0,2023-12-20T13:11:25-08:00,2023-12-20T13:11:25-08:00,,,
704,"mem-ruby,configs: Enable Ruby with NULL build",新增/支持,v24.0.0.0,d6b798431f06ad14372aca6dae46e574be8bc235,2023-12-21,1909,1,0,0,0,0,2023-12-21T10:22:42-08:00,2023-12-21T10:22:42-08:00,,,
696,misc: Turn off 'maybe-uninitialized' warn for regex include,其他,v23.1.0.0,e95389920a45ef8ea0ab6860a18098cdea34e9fd,2023-12-21,1929,2,1,40,0,40,2023-12-20T13:10:56-08:00,2023-12-21T18:45:47-08:00,src,src,
706,misc: Fix 'maybe-uninitialized' warn turn off,修复/纠错,v23.1.0.0,c4146d8813a0f8a7f83584f2a131504cee663baa,2023-12-21,1930,2,1,8,12,20,2023-12-21T10:21:20-08:00,2023-12-21T18:45:56-08:00,src,src,
705,mem: Updated bytesRead and bytesWritten stat,其他,v23.1.0.0,70aeaaa0e9cb62f7ab23e8be1a800f3eb84c87a6,2023-12-21,1931,2,4,38,28,66,2023-12-21T10:21:40-08:00,2023-12-21T18:46:02-08:00,src,mem,
707,misc: Cherry-pick commits from develop to v23.1 staging,其他,v23.1.0.0,d48ed780d2b9daaa97f99ac574f3855a2b1ec2df,2023-12-21,1937,1,0,0,0,0,2023-12-21T18:50:09-08:00,2023-12-21T18:50:09-08:00,,,
708,scons: Remove warnings-as-errors comp feature for v23.1,移除/弃用,v23.1.0.0,4c02ae214f48b9cb2ab3176c98aecf5857b7e26d,2023-12-21,1939,1,0,0,0,0,2023-12-21T19:45:12-08:00,2023-12-21T19:45:12-08:00,,,
698,configs: Fix SMT cpu type checking,修复/纠错,v24.0.0.0,025ccadc6823eff93ee9e0a20712000978bbc53e,2023-12-22,1910,1,2,3,1,4,2023-12-22T11:30:45-08:00,2023-12-22T11:30:45-08:00,configs,configs,
447,misc: Add release notes for version 23.1,更新/依赖,v23.1.0.0,cafc5e685dd4121342bd25b2d01d4ed444ae0686,2023-12-23,1940,1,1,128,0,128,2023-12-23T18:23:06-08:00,2023-12-23T18:23:06-08:00,RELEASE-NOTES.md,RELEASE-NOTES.md,
714,misc: Fix kconfig section format of RELEASE-NOTE.md,修复/纠错,v23.1.0.0,5c4e41ad23c84c6c44d867989d1225544e5a3926,2023-12-27,1941,1,1,4,4,8,2023-12-27T11:20:56-08:00,2023-12-27T11:20:56-08:00,RELEASE-NOTES.md,RELEASE-NOTES.md,
716,misc: Merge v23.1 staging branch into develop,其他,v24.0.0.0,88ea70886b8df352752713cef464dc4115eee9c0,2023-12-27,2019,1,0,0,0,0,2023-12-27T20:16:30-08:00,2023-12-27T20:16:30-08:00,,,
717,misc: Merge `stable` into `release-staging-v23-1`,其他,v23.1.0.0,e0706e9270a1c1a330914b758f23cd08b7cd1fa3,2023-12-27,2588,1,0,0,0,0,2023-12-27T12:47:27-08:00,2023-12-27T12:47:27-08:00,,,
680,scons: Add option to use libc++,新增/支持,v24.0.0.0,e7d7199ea4710ec39d0bb50f076ad66419a9eb68,2023-12-28,2020,1,2,18,4,22,2023-12-28T12:49:44-08:00,2023-12-28T12:49:44-08:00,"SConstruct, site_scons","SConstruct, scons",
711,misc: Merge `release-staging-v23-1` into `stable`,其他,v23.1.0.0,bae34876780dfb2bc22b9151bfda1d39ee80cfb1,2023-12-28,2589,1,0,0,0,0,2023-12-28T12:50:12-08:00,2023-12-28T12:50:12-08:00,,,
732,arch-arm: Handle invalid case for encodeAArch64SysReg,修复/纠错,v24.0.0.0,5e2e748f3a16b384ebf010a1b9f901dfa7a951ab,2024-01-04,2021,1,4,12,9,21,2024-01-04T10:04:40+00:00,2024-01-04T10:04:40+00:00,src,arch,arm
734,mem-ruby: fix missing txnId for prefetch requests,修复/纠错,v24.0.0.0,b652ab85581b59edf82492901aa85e15065e974e,2024-01-04,2022,1,1,1,0,1,2024-01-04T07:55:11-08:00,2024-01-04T07:55:11-08:00,src,mem,
730,gpu-compute: Added register file cache support,新增/支持,v24.0.0.0,dc85d1492cec536752c1b1f68a17711c933c50df,2024-01-05,2024,1,0,0,0,0,2024-01-05T12:57:06-06:00,2024-01-05T12:57:06-06:00,,,
731,gpu-compute: WAX dependency detection,其他,v24.0.0.0,ab9e61ea039b77aa79458e385c873d7836495b6a,2024-01-05,2026,1,0,0,0,0,2024-01-05T12:57:24-06:00,2024-01-05T12:57:24-06:00,,,
735,fastmodel: Fix the Fastmodel RemoteGDB initial,修复/纠错,v24.0.0.0,74dd0bb9bb0e599b7a159eba2e0bc131867c53a4,2024-01-10,2027,1,1,1,1,2,2024-01-10T16:55:54-08:00,2024-01-10T16:55:54-08:00,src,arch,arm
691,arch-riscv: Move PMAChecker and PMP to RiscvISA namespace,重命名/迁移,v24.0.0.0,2f24ee570e552dfca6fb08377ed669b5e3ebaf62,2024-01-10,2028,1,6,30,16,46,2024-01-10T16:58:13-08:00,2024-01-10T16:58:13-08:00,src,arch,riscv
764,configs: Add o3 --cpu choice to the starter_se.py script,新增/支持,v24.0.0.0,7487c131817023377b09a9b9fc28ad9b36d82310,2024-01-12,2029,1,1,11,2,13,2024-01-12T07:47:51-08:00,2024-01-12T07:47:51-08:00,configs,configs,
701,mem-ruby: allow comparison of int and Addr in SLICC,其他,v24.0.0.0,e5bdc760e32045a75f9213e3cab8f164f0d6ce40,2024-01-12,2030,1,1,9,1,10,2024-01-12T10:02:29-08:00,2024-01-12T10:02:29-08:00,src,mem,
756,arch-riscv: Remove the check of bit 63 of the physical address,移除/弃用,v24.0.0.0,85eb99388a96ec0da1e1bdbdd4db63175aea6819,2024-01-12,2031,1,1,0,14,14,2024-01-12T15:17:49-08:00,2024-01-12T15:17:49-08:00,src,arch,riscv
733,gpu-compute: Support for MI200 GPU model,新增/支持,v24.0.0.0,6a9e80c54c29e8312ac9b95d3d65e9959e0f9fd8,2024-01-15,2043,1,0,0,0,0,2024-01-15T08:18:34-08:00,2024-01-15T08:18:34-08:00,,,
774,arch-vega: Fix upsize cast error in newer compilers,修复/纠错,v24.0.0.0,70376d43a3dfbbe2bd5f1e8d3735694a693d4341,2024-01-16,2044,1,1,9,9,18,2024-01-16T09:41:23-08:00,2024-01-16T09:41:23-08:00,src,arch,amdgpu
773,mem-ruby: fix ruby startup() to reset exit event correctly,修复/纠错,v24.0.0.0,c2a22b03b43368fde6fe0622224d07cd0570f440,2024-01-17,2045,1,1,5,0,5,2024-01-17T08:41:10-08:00,2024-01-17T08:41:10-08:00,src,mem,
715,arch-riscv: Fix issue when vl=0 in VectorIntMaskMacroConstructor,修复/纠错,v24.0.0.0,511729ab767a45118c73d6a82b16f1aa484311cc,2024-01-17,2046,1,1,1,5,6,2024-01-17T08:45:08-08:00,2024-01-17T08:45:08-08:00,src,arch,riscv
780,arch-riscv: Refactor the RISC-V multiplication utility,重构/整理,v24.0.0.0,f56459470a481c49d1c81992dc4ae34a13589f66,2024-01-18,2047,1,2,39,69,108,2024-01-18T12:40:11-08:00,2024-01-18T12:40:11-08:00,src,arch,riscv
784,arch-arm: Fix compile error in kvm,修复/纠错,v24.0.0.0,a555449c12025c092fdf6d17f7fd0a69b03631bb,2024-01-19,2048,1,1,10,4,14,2024-01-19T07:59:59-08:00,2024-01-19T07:59:59-08:00,src,arch,arm
647,misc: Merge Weekly GPU tests into Weekly Tests,测试,v24.0.0.0,f2916e1b2b415efdfdbaaaa88210b94f82a3d404,2024-01-22,2051,1,0,0,0,0,2024-01-22T10:53:28-08:00,2024-01-22T10:53:28-08:00,,,
789,arch-vega: Reorganize inst and misc files,重构/整理,v24.0.0.0,4fe64890389bd873253314f76d8a92e12821cac7,2024-01-23,2054,1,0,0,0,0,2024-01-23T10:06:40-08:00,2024-01-23T10:06:40-08:00,,,
737,util: updated resource manager dependencies,其他,v24.0.0.0,fea41064144592e512026b40438132244677daba,2024-01-23,2055,1,1,5,5,10,2024-01-23T11:09:15-08:00,2024-01-23T11:09:15-08:00,util,util,
801,arch-vega: Remove deleted instruction.cc from build,移除/弃用,v24.0.0.0,dfafc5792a4bbab09112e3aefce9c5cc9f1a86da,2024-01-23,2056,1,1,0,1,1,2024-01-23T18:47:01-08:00,2024-01-23T18:47:01-08:00,src,arch,amdgpu
792,dev-amdgpu: Check privledge bit for SDMA RLC queues,其他,v24.0.0.0,0ac110ac9570458b07d69dc4459e70efcd9d44cc,2024-01-24,2057,1,2,22,7,29,2024-01-24T07:25:43-08:00,2024-01-24T07:25:43-08:00,src,dev,
803,arch-vega: Implement memory aperture operands,新增/支持,v24.0.0.0,44c78d843c6cb865097492106cba452d7d1782bb,2024-01-24,2058,1,3,54,4,58,2024-01-24T11:19:43-08:00,2024-01-24T11:19:43-08:00,src,arch,amdgpu
793,arch-riscv: Simply implementation of vector multiply and divide instructions,其他,v24.0.0.0,6dd936e5b52104461c03c60d1bf7e6bcc95def88,2024-01-24,2059,1,1,14,81,95,2024-01-24T13:20:15-08:00,2024-01-24T13:20:15-08:00,src,arch,riscv
805,arch-riscv: Fix vsadd_vi and vsaddu_vi to match v-spec,修复/纠错,v24.0.0.0,7a96709b1141aecbb7e502435cdacc2204e56622,2024-01-24,2060,1,1,2,2,4,2024-01-24T17:21:26-08:00,2024-01-24T17:21:26-08:00,src,arch,riscv
781,arch-gcn3: Remove gcn3,移除/弃用,v24.0.0.0,24e0d71034f68ea11fa1074aa5c58d0390bb13df,2024-01-25,2065,1,0,0,0,0,2024-01-25T10:14:46-08:00,2024-01-25T10:14:46-08:00,,,
786,base: Fix Integer overflow in AddrRange,修复/纠错,v24.0.0.0,1c0127ae7c2da9b8689c2a785b312c9eccb7c7b1,2024-01-25,2068,1,0,0,0,0,2024-01-25T10:18:29-08:00,2024-01-25T10:18:29-08:00,,,
739,misc: Update .mailmap file,更新/依赖,v24.0.0.0,235f6bd43fb3f0855197d9e51a42aa56b9c5dc4a,2024-01-25,2069,1,1,85,45,130,2024-01-25T12:00:13-08:00,2024-01-25T12:00:13-08:00,.mailmap,.mailmap,
